Bar Pressure(Bar Pressure);Nitrogen Dioxide(NO2);PM 10(RSPM);PM 2.5(PM2.5);Solar Radiation(SR);Sulfur Dioxide(SO2);Temperature(TEMP);index
648.36;7.61;82.95;;;2.74;15.18;04/02/2010
732.72;22.05;88.98;;;6.99;30.35;04/03/2010
735.9;23.32;81.74;;;13.48;29.73;04/04/2010
730.12;27.86;63.04;;;9.55;33.93;04/05/2010
730.98;13.57;163.86;;;1.4;30.79;04/06/2010
730.2;11.21;64.06;;;3.12;;04/07/2010
727.25;26.68;51.41;;;;28.5;04/08/2010
729.85;27.43;63.87;;;5.25;27.31;04/09/2010
734.77;37.28;;;;6.77;32.46;04/10/2010
739.55;75.68;384.94;;;2.44;20.82;04/11/2010
737.55;75.48;319.05;;;6.08;24.74;04/12/2010
648.86;5.3;57.12;;;1.99;10.74;05/01/2010
648.02;6.4;82.88;;;3.13;15.7;05/02/2010
732.72;10.36;43.44;;;7.35;30.35;05/03/2010
735.64;24.95;105.51;;;14.73;30.44;05/04/2010
729.41;28.24;166.88;;;8.42;34.84;05/05/2010
729.73;20.85;335.37;;;1.57;29.11;05/06/2010
730.16;10.1;36.9;;;2.64;;05/07/2010
729.94;33.12;61.59;;;;27.65;05/08/2010
730.66;20.97;43.55;;;5.13;26.22;05/09/2010
734.16;73.52;189.63;;;20.88;30.85;05/10/2010
738.97;76.44;441.76;;;7.9;21.21;05/11/2010
737.55;39.39;319.93;;;5.97;24.74;05/12/2010
645.97;10.39;113.11;;;4.18;11.21;06/01/2010
646.62;33.43;85.55;;;3.78;17.45;06/02/2010
732.72;12.84;51.04;;;8.09;30.35;06/03/2010
735.65;28.49;102.72;;;15.04;27.85;06/04/2010
725.65;25.67;188.35;;;4.31;31.66;06/05/2010
729.11;19.56;169.9;;;1.12;29.83;06/06/2010
729.81;15.13;57.04;;;2.74;28.4;06/07/2010
731.77;26.96;66.93;;;;30.13;06/08/2010
730.32;33.19;63.21;;;5.95;27.56;06/09/2010
734.03;56.19;201.03;;;27.08;27.51;06/10/2010
738.26;57.79;470.49;;;13.14;21.39;06/11/2010
737.55;5.62;402.7;;;5.5;24.74;06/12/2010
646.22;8.55;124.22;;;5.2;10.78;07/01/2010
646.24;92.19;143.56;;;7.54;20.35;07/02/2010
732.72;7.58;44.59;;;5.18;30.35;07/03/2010
736.54;44.56;100.85;;;19.86;27.39;07/04/2010
731.18;19.74;95.16;;;5.93;27.12;07/05/2010
728.91;26.55;114.13;;;1.17;30.13;07/06/2010
731.67;20.35;70.98;;;2.82;29.39;07/07/2010
731.3;27.75;70.97;;;;30.53;07/08/2010
729.43;33.33;78.97;;;4.72;27.82;07/09/2010
733.24;52.49;279.74;;;25.67;27.19;07/10/2010
738.62;57.49;395.99;;;7.64;21.66;07/11/2010
737.55;8.6;414.98;;;5.36;24.74;07/12/2010
647.4;4.23;66.37;;;2.66;9.04;08/01/2010
650.6;51.1;107.6;;;6.84;19.23;08/02/2010
733.32;12.28;44.41;;;6.33;31.25;08/03/2010
737.34;63.37;127.02;;;13.07;29.06;08/04/2010
732.3;27.96;54.5;;;8.32;28.24;08/05/2010
729.1;27.38;43.42;;;1.48;25.37;08/06/2010
732.03;17.75;90.0;;;;30.52;08/07/2010
730.0;22.01;64.7;;;;30.54;08/08/2010
730.83;15.63;40.78;;;4.56;27.26;08/09/2010
729.98;54.25;274.57;;;24.36;27.12;08/10/2010
739.88;87.4;297.78;;;7.97;22.6;08/11/2010
737.55;;293.56;;;2.64;24.74;08/12/2010
648.9;1.21;51.65;;;1.42;10.55;09/01/2010
650.46;24.7;44.8;;;2.89;16.57;09/02/2010
740.16;19.62;60.37;;;8.22;37.97;09/03/2010
733.84;49.73;125.54;;;13.11;29.73;09/04/2010
730.51;18.35;141.1;;;8.23;30.63;09/05/2010
731.26;27.87;46.41;;;1.22;28.85;09/06/2010
729.56;24.47;126.21;;;;32.05;09/07/2010
729.63;27.98;65.17;;;;30.36;09/08/2010
731.44;21.84;60.64;;;5.31;27.79;09/09/2010
730.3;39.65;260.01;;;8.9;26.77;09/10/2010
741.13;105.36;324.54;;;8.71;22.99;09/11/2010
736.88;51.37;280.21;;;2.26;21.43;09/12/2010
647.32;2.29;53.37;;;1.14;7.64;10/01/2010
648.79;27.36;95.09;;;2.73;14.74;10/02/2010
740.51;23.56;64.9;;;8.57;20.13;10/03/2010
731.15;46.66;128.95;;;16.53;29.98;10/04/2010
730.27;35.15;94.38;;;10.42;31.23;10/05/2010
731.1;35.05;74.16;;;1.67;30.42;10/06/2010
728.58;16.96;98.29;;;;31.8;10/07/2010
729.8;46.98;97.09;;;;30.37;10/08/2010
730.23;18.88;61.1;;;4.87;28.55;10/09/2010
730.68;42.2;242.85;;;10.05;26.88;10/10/2010
739.88;73.66;348.88;;;5.51;21.43;10/11/2010
736.42;43.61;277.11;;;2.35;13.73;10/12/2010
647.28;2.26;58.41;;;;7.85;11/01/2010
669.43;28.87;118.06;;;3.45;13.97;11/02/2010
741.02;18.99;67.16;;;8.51;20.5;11/03/2010
731.17;60.54;127.34;;;14.38;30.42;11/04/2010
730.54;27.1;85.12;;;7.47;32.36;11/05/2010
730.07;40.62;88.46;;;5.08;33.8;11/06/2010
727.66;16.92;99.75;;;;31.69;11/07/2010
730.41;28.86;51.61;;;;27.91;11/08/2010
730.36;14.22;33.92;;;5.1;26.89;11/09/2010
733.8;34.56;164.9;;;7.17;26.64;11/10/2010
737.77;72.96;427.29;;;5.92;21.17;11/11/2010
735.68;40.99;247.54;;;2.01;12.41;11/12/2010
646.94;8.62;105.51;;;1.6;8.29;12/01/2010
732.92;43.23;121.82;;;5.83;15.71;12/02/2010
740.79;19.25;67.51;;;9.14;20.96;12/03/2010
731.37;42.08;134.43;;;10.93;31.97;12/04/2010
730.36;45.2;80.88;;;13.84;31.99;12/05/2010
723.37;62.26;91.22;;;4.49;37.1;12/06/2010
727.82;18.06;238.67;;;;30.12;12/07/2010
731.27;46.36;65.05;;;;27.82;12/08/2010
731.51;16.96;22.79;;;4.78;25.52;12/09/2010
736.06;29.59;166.33;;;4.2;26.9;12/10/2010
735.55;82.37;436.93;;;12.71;22.73;12/11/2010
734.44;37.98;199.88;;;2.0;13.64;12/12/2010
647.35;10.17;137.98;;;5.72;10.03;13/01/2010
732.9;30.63;103.43;;;8.09;15.92;13/02/2010
738.26;19.32;73.65;;;9.38;21.63;13/03/2010
732.97;33.39;116.26;;;16.81;31.02;13/04/2010
729.48;86.22;118.69;;;11.79;34.35;13/05/2010
727.61;38.84;88.65;;;5.95;41.69;13/06/2010
729.6;21.85;137.74;;;;29.35;13/07/2010
730.66;33.92;100.13;;;;28.74;13/08/2010
731.17;19.98;43.2;;;4.9;26.32;13/09/2010
735.81;28.52;188.77;;;2.93;26.94;13/10/2010
736.18;83.92;355.98;;;15.75;20.91;13/11/2010
737.38;84.55;250.01;;;2.0;14.43;13/12/2010
648.17;3.59;61.2;;;3.67;9.56;14/01/2010
732.89;22.53;78.58;;;6.32;14.15;14/02/2010
735.34;18.89;71.68;;;9.5;21.96;14/03/2010
733.19;43.73;116.91;;;14.31;30.79;14/04/2010
729.09;42.59;129.39;;;8.98;30.08;14/05/2010
719.91;26.43;44.81;;;2.91;30.67;14/06/2010
730.32;18.38;221.12;;;;31.25;14/07/2010
730.31;35.87;53.44;;;;27.04;14/08/2010
730.81;26.41;59.29;;;5.21;26.87;14/09/2010
734.36;25.0;183.68;;;3.04;26.42;14/10/2010
739.34;7.19;245.05;;;14.07;22.08;14/11/2010
739.42;80.38;326.14;;;2.0;13.71;14/12/2010
647.5;4.11;69.62;;;3.31;10.17;15/01/2010
732.97;53.49;102.95;;;6.49;14.08;15/02/2010
735.85;23.47;66.91;;;8.88;22.1;15/03/2010
734.55;61.9;115.73;;;22.49;31.69;15/04/2010
729.4;99.29;106.91;;;25.41;39.7;15/05/2010
721.99;34.16;68.01;;;4.03;31.56;15/06/2010
730.04;24.93;202.55;;;;30.94;15/07/2010
731.11;28.59;47.97;;;;27.54;15/08/2010
731.21;18.57;82.45;;;5.14;26.73;15/09/2010
734.51;35.48;231.47;;;3.49;26.31;15/10/2010
739.99;4.98;256.71;;;5.81;22.03;15/11/2010
739.36;59.41;255.57;;;2.0;13.4;15/12/2010
646.63;4.7;67.87;;;3.11;10.75;16/01/2010
732.9;56.28;116.06;;;7.15;15.66;16/02/2010
737.84;45.4;100.72;;;11.7;23.62;16/03/2010
733.63;73.56;150.42;;;16.54;32.06;16/04/2010
;93.09;112.0;;;10.8;;16/05/2010
712.6;31.2;59.39;;;3.96;27.48;16/06/2010
728.72;18.72;65.75;;;;31.12;16/07/2010
731.59;32.48;60.59;;;;28.42;16/08/2010
731.69;19.0;79.33;;;5.05;26.92;16/09/2010
734.21;63.74;288.39;;;4.06;27.19;16/10/2010
738.65;4.49;206.5;;;4.73;20.95;16/11/2010
739.6;74.12;254.64;;;2.0;14.24;16/12/2010
646.79;9.36;106.29;;;3.67;10.21;17/01/2010
733.45;33.1;87.66;;;4.65;15.25;17/02/2010
740.23;43.39;92.87;;;16.6;24.59;17/03/2010
732.3;44.57;159.32;;;14.57;33.54;17/04/2010
730.15;109.36;194.15;;;15.52;31.43;17/05/2010
702.08;24.25;50.87;;;3.47;29.02;17/06/2010
729.15;15.82;86.34;;;;30.2;17/07/2010
729.37;23.62;61.79;;;;29.3;17/08/2010
731.41;16.9;81.88;;;5.08;27.05;17/09/2010
734.86;31.13;115.92;;;3.59;27.54;17/10/2010
738.67;1.42;246.64;;;5.6;19.68;17/11/2010
739.55;105.38;331.25;;;2.0;15.29;17/12/2010
647.1;9.03;119.49;;;4.0;10.57;18/01/2010
733.63;47.63;60.17;;;5.3;18.38;18/02/2010
741.33;40.24;118.4;;;14.93;24.7;18/03/2010
730.45;28.8;151.69;;;8.69;33.94;18/04/2010
;37.28;113.87;;;10.58;;18/05/2010
713.68;42.9;70.14;;;7.63;31.95;18/06/2010
728.04;12.26;82.69;;;;31.61;18/07/2010
728.71;23.23;41.34;;;;28.07;18/08/2010
731.56;10.93;62.58;;;5.23;26.06;18/09/2010
735.85;31.97;104.38;;;3.7;27.38;18/10/2010
739.3;;132.62;;;3.33;21.1;18/11/2010
739.77;69.12;337.19;;;;13.73;18/12/2010
646.48;7.62;98.74;;;4.94;10.67;19/01/2010
732.89;28.51;;;;5.01;14.14;19/02/2010
738.92;26.49;95.1;;;6.24;24.2;19/03/2010
728.77;26.05;172.66;;;8.23;34.1;19/04/2010
;26.82;124.2;;;12.65;;19/05/2010
727.9;71.21;87.9;;;9.54;34.48;19/06/2010
726.36;17.68;61.01;;;;29.23;19/07/2010
730.76;19.03;24.16;;;;26.06;19/08/2010
732.4;11.51;40.35;;;4.72;22.63;19/09/2010
735.91;48.53;187.08;;;3.76;27.26;19/10/2010
738.53;3.37;182.36;;;4.54;19.35;19/11/2010
742.26;45.25;251.26;;;67.33;13.18;19/12/2010
646.19;10.31;106.35;;;4.79;10.04;20/01/2010
732.89;35.43;;;;5.18;15.03;20/02/2010
736.96;28.41;99.63;;;7.26;25.31;20/03/2010
728.55;33.61;199.14;;;9.95;33.36;20/04/2010
;45.29;94.67;;;13.0;;20/05/2010
728.38;55.45;83.0;;;6.42;37.22;20/06/2010
728.07;18.27;36.56;;;;26.59;20/07/2010
732.01;24.52;40.06;;;;27.48;20/08/2010
731.92;19.63;41.73;;;5.35;24.67;20/09/2010
732.85;71.02;305.67;;;3.98;26.31;20/10/2010
736.85;;271.81;;;3.18;17.29;20/11/2010
741.9;43.47;255.87;;;30.41;13.12;20/12/2010
646.06;10.09;85.98;;;3.94;9.85;21/01/2010
732.9;33.62;;;;5.42;16.18;21/02/2010
734.98;41.2;120.53;;;7.66;27.5;21/03/2010
730.02;30.6;305.35;;;7.48;33.43;21/04/2010
;65.3;90.24;;;16.69;;21/05/2010
727.9;15.25;59.33;;;1.13;36.62;21/06/2010
728.52;22.16;72.08;;;;28.51;21/07/2010
725.99;26.09;43.92;;;;26.81;21/08/2010
732.36;29.19;43.61;;;3.79;25.23;21/09/2010
732.64;48.77;319.42;;;3.56;26.2;21/10/2010
735.88;4.33;250.21;;;4.85;17.35;21/11/2010
739.5;66.33;245.27;;;26.68;11.91;21/12/2010
645.85;16.08;158.22;;;6.58;11.28;22/01/2010
732.96;53.21;;;;9.64;18.69;22/02/2010
731.88;28.37;115.68;;;8.4;27.2;22/03/2010
732.78;43.18;186.99;;;15.36;31.51;22/04/2010
728.35;93.38;112.63;;;21.87;40.83;22/05/2010
729.13;15.2;54.23;;;;28.51;22/07/2010
729.24;12.25;36.89;;;;26.0;22/08/2010
732.12;24.12;35.48;;;1.59;25.03;22/09/2010
730.95;38.23;241.16;;;4.45;25.01;22/10/2010
737.15;62.5;357.99;;;5.02;17.57;22/11/2010
736.29;82.81;315.3;;;31.42;13.5;22/12/2010
646.11;12.31;112.79;;;4.03;12.79;23/01/2010
732.93;20.27;;;;4.11;19.95;23/02/2010
730.7;39.33;122.89;;;10.17;28.02;23/03/2010
733.84;39.69;139.13;;;15.54;30.5;23/04/2010
728.28;28.83;85.46;;;13.03;40.86;23/05/2010
725.7;22.65;218.85;;;4.29;40.98;23/06/2010
727.78;14.88;78.81;;;;29.71;23/07/2010
728.6;20.22;85.8;;;;29.5;23/08/2010
732.81;53.95;69.17;;;1.03;24.54;23/09/2010
732.97;37.08;173.31;;;4.48;23.67;23/10/2010
738.19;60.15;268.29;;;3.88;17.96;23/11/2010
736.69;54.75;251.96;;;20.29;15.17;23/12/2010
647.31;6.09;71.54;;;3.31;14.98;24/01/2010
732.92;30.99;104.81;;;4.89;19.88;24/02/2010
731.9;34.98;135.17;;;9.54;28.4;24/03/2010
733.28;29.24;111.83;;;21.02;30.6;24/04/2010
726.89;54.72;117.5;;;5.45;39.08;24/05/2010
725.73;19.76;151.49;;;3.03;37.23;24/06/2010
725.99;18.59;135.8;;;;30.18;24/07/2010
729.82;17.28;40.4;;;;27.86;24/08/2010
733.38;51.82;127.4;;;;26.41;24/09/2010
734.92;41.12;205.51;;;4.17;22.81;24/10/2010
738.54;47.12;137.3;;;5.69;17.12;24/11/2010
738.6;72.74;318.96;;;21.17;15.11;24/12/2010
646.45;7.84;91.93;;;4.01;16.16;25/01/2010
732.9;26.82;59.33;;;6.02;17.99;25/02/2010
732.83;33.75;140.91;;;10.31;27.1;25/03/2010
732.63;53.8;104.44;;;23.36;30.68;25/04/2010
724.78;56.87;112.85;;;2.5;34.57;25/05/2010
727.89;16.66;94.1;;;1.69;29.49;25/06/2010
725.6;17.35;76.1;;;;29.88;25/07/2010
730.72;18.04;42.77;;;3.28;28.2;25/08/2010
732.62;48.07;151.07;;;;26.08;25/09/2010
736.52;67.06;215.96;;;3.91;21.6;25/10/2010
738.67;40.14;120.91;;;4.52;18.42;25/11/2010
738.82;41.68;280.0;;;12.78;11.06;25/12/2010
646.18;3.22;93.97;;;5.45;12.62;26/01/2010
732.9;24.79;81.78;;;5.38;19.45;26/02/2010
733.29;52.38;163.93;;;24.09;28.31;26/03/2010
733.66;93.77;160.84;;;17.75;26.27;26/04/2010
724.17;52.11;137.32;;;6.88;35.48;26/05/2010
727.26;24.49;133.53;;;1.27;33.44;26/06/2010
726.33;14.63;68.13;;;;31.4;26/07/2010
731.69;24.58;66.75;;;4.89;27.8;26/08/2010
732.62;36.34;146.8;;;;26.08;26/09/2010
737.94;63.07;167.6;;;4.07;22.66;26/10/2010
737.94;48.58;157.21;;;3.7;18.26;26/11/2010
739.75;32.12;223.33;;;11.88;10.04;26/12/2010
645.97;4.63;71.22;;;4.41;13.79;27/01/2010
732.92;26.87;80.95;;;4.56;21.15;27/02/2010
734.76;31.11;128.71;;;26.24;28.46;27/03/2010
724.71;45.15;228.04;;;3.05;34.61;27/05/2010
726.95;23.73;132.19;;;2.5;34.32;27/06/2010
728.58;15.33;33.96;;;;27.54;27/07/2010
730.8;39.92;108.09;;;5.08;28.62;27/08/2010
732.62;41.34;184.12;;;;26.08;27/09/2010
738.58;81.33;524.09;;;4.26;22.06;27/10/2010
737.67;62.19;201.88;;;2.99;19.88;27/11/2010
740.34;43.31;258.06;;;11.38;10.31;27/12/2010
645.97;9.41;111.25;;;6.38;17.09;28/01/2010
732.91;15.58;69.89;;;4.36;21.22;28/02/2010
735.69;21.07;107.15;;;17.05;31.54;28/03/2010
733.22;21.78;166.43;;;11.38;33.38;28/04/2010
727.11;6.76;226.0;;;1.48;30.84;28/05/2010
727.22;31.54;172.39;;;5.09;33.37;28/06/2010
729.81;32.3;42.22;;;;29.0;28/07/2010
730.48;29.81;117.74;;;4.65;29.48;28/08/2010
732.62;58.15;179.43;;;;26.08;28/09/2010
738.39;75.24;311.87;;;3.55;21.63;28/10/2010
737.55;66.43;174.63;;;4.78;24.74;28/11/2010
740.48;46.13;314.11;;;18.01;11.2;28/12/2010
647.2;8.44;95.62;;;3.93;17.97;29/01/2010
735.69;24.99;110.9;;;22.5;31.54;29/03/2010
733.59;38.77;99.79;;;10.38;30.87;29/04/2010
728.86;10.27;96.13;;;1.58;29.28;29/05/2010
723.06;21.4;197.85;;;4.95;32.95;29/06/2010
728.94;29.27;73.93;;;;29.45;29/07/2010
730.31;22.25;131.69;;;4.95;29.68;29/08/2010
732.62;61.87;156.19;;;;26.08;29/09/2010
738.89;87.73;318.16;;;3.35;21.52;29/10/2010
737.55;78.26;276.58;;;4.82;24.74;29/11/2010
739.59;53.07;244.41;;;12.54;13.9;29/12/2010
648.53;5.7;89.77;;;3.06;14.64;30/01/2010
735.69;28.1;131.89;;;12.88;31.54;30/03/2010
733.79;42.77;118.63;;;4.17;31.96;30/04/2010
729.81;44.69;75.96;;;1.78;30.92;30/05/2010
726.64;22.68;337.63;;;5.55;;30/06/2010
728.79;26.53;86.11;;;;29.06;30/07/2010
729.28;30.81;135.7;;;5.28;30.03;30/08/2010
732.62;55.78;137.11;;;;26.08;30/09/2010
740.22;154.25;390.22;;;4.69;22.66;30/10/2010
737.55;60.73;245.62;;;4.22;24.74;30/11/2010
737.87;54.08;203.26;;;13.69;14.59;30/12/2010
647.86;6.05;62.7;;;2.38;13.8;31/01/2010
735.69;22.93;93.96;;;11.07;31.54;31/03/2010
729.19;44.76;86.98;;;3.57;32.65;31/05/2010
729.82;34.47;51.83;;;;26.01;31/07/2010
729.68;24.4;81.25;;;5.1;29.17;31/08/2010
740.05;128.32;398.86;;;4.23;22.05;31/10/2010
738.27;20.58;97.03;;;9.02;12.53;31/12/2010
739.85;17.39;105.78;;;5.56;10.51;01/01/2011
741.29;36.52;199.64;;;3.04;13.55;01/02/2011
740.02;9.36;123.26;;;6.41;15.26;01/03/2011
734.91;7.84;177.05;;;5.44;25.13;01/04/2011
732.29;24.58;331.49;;;3.96;27.07;01/05/2011
728.3;2.59;99.48;;;1.82;30.16;01/06/2011
726.81;3.74;156.52;;;5.54;29.9;01/07/2011
726.69;34.11;109.2;;;1.71;31.99;01/08/2011
729.36;35.01;59.27;;;2.81;31.72;01/09/2011
733.51;43.78;127.11;;;1.01;27.33;01/10/2011
737.3;45.8;340.56;;;14.12;22.78;01/11/2011
738.78;174.89;337.46;;;13.9;17.01;01/12/2011
739.9;13.28;91.38;;;4.12;9.94;02/01/2011
737.67;38.75;208.96;;;2.6;13.8;02/02/2011
738.51;20.68;205.01;;;8.75;17.59;02/03/2011
735.32;10.38;155.1;;;6.15;25.8;02/04/2011
731.29;2.85;103.46;;;1.96;28.68;02/06/2011
727.24;16.13;230.94;;;6.16;30.88;02/07/2011
726.94;37.47;92.84;;;2.12;32.18;02/08/2011
729.29;30.46;59.98;;;3.43;30.88;02/09/2011
732.88;84.6;169.64;;;;27.37;02/10/2011
736.66;36.2;255.31;;;12.35;22.67;02/11/2011
738.53;277.81;455.26;;;12.41;18.62;02/12/2011
741.76;22.94;138.5;;;6.37;9.98;03/01/2011
740.91;44.81;208.16;;;3.98;16.08;03/02/2011
738.39;27.18;136.9;;;5.69;17.39;03/03/2011
736.54;3.17;92.71;;;6.71;24.04;03/04/2011
731.53;7.43;156.47;;;2.4;31.46;03/06/2011
727.8;30.78;136.61;;;5.65;31.5;03/07/2011
729.15;26.25;46.85;;;3.49;29.13;03/09/2011
733.24;59.23;131.69;;;;27.55;03/10/2011
736.5;41.27;284.3;;;14.24;22.57;03/11/2011
736.02;138.55;310.78;;;5.53;18.72;03/12/2011
741.59;25.41;164.89;;;9.03;7.28;04/01/2011
740.31;54.07;235.75;;;4.17;15.15;04/02/2011
738.6;14.51;95.25;;;5.03;17.31;04/03/2011
737.2;17.32;168.54;;;8.23;23.69;04/04/2011
729.8;13.75;169.55;;;2.32;32.91;04/06/2011
729.32;;186.77;;;5.48;32.15;04/07/2011
729.92;25.04;40.44;;;4.59;27.17;04/09/2011
734.06;51.27;125.42;;;;27.71;04/10/2011
737.56;50.19;347.85;;;16.44;22.31;04/11/2011
736.22;114.53;226.29;;;6.52;17.92;04/12/2011
740.99;20.11;162.33;;;7.13;7.41;05/01/2011
737.78;66.86;228.52;;;6.61;20.71;05/02/2011
739.06;8.44;111.9;;;5.76;18.01;05/03/2011
737.07;32.33;196.99;;;8.09;25.42;05/04/2011
730.63;10.83;214.37;;;3.88;34.03;05/05/2011
728.82;31.83;225.37;;;3.31;34.56;05/06/2011
729.72;;220.39;;;5.7;31.71;05/07/2011
722.88;24.85;58.69;;;5.31;29.6;05/08/2011
730.22;50.99;41.38;;;4.55;26.9;05/09/2011
736.44;72.09;147.83;;;1.63;28.04;05/10/2011
738.1;50.05;429.57;;;13.81;22.72;05/11/2011
737.4;114.22;213.42;;;7.15;18.97;05/12/2011
741.77;21.02;158.64;;;6.46;7.66;06/01/2011
736.84;20.45;163.65;;;7.67;20.96;06/02/2011
740.76;10.37;130.74;;;5.02;18.35;06/03/2011
736.63;25.65;219.0;;;8.45;26.07;06/04/2011
731.76;9.41;121.79;;;3.49;29.43;06/05/2011
729.07;6.44;150.66;;;2.82;36.4;06/06/2011
730.16;;92.62;;;5.36;29.59;06/07/2011
723.77;31.03;73.1;;;6.23;28.85;06/08/2011
729.14;44.67;48.19;;;4.24;27.55;06/09/2011
737.2;49.34;122.62;;;1.09;27.96;06/10/2011
737.22;27.39;346.4;;;7.04;22.12;06/11/2011
738.04;121.9;236.9;;;8.0;21.03;06/12/2011
740.6;31.3;194.3;;;8.85;7.84;07/01/2011
735.4;23.8;147.53;;;7.79;20.29;07/02/2011
740.63;11.54;126.96;;;5.21;19.57;07/03/2011
736.97;21.69;263.09;;;8.47;25.38;07/04/2011
731.52;10.91;98.67;;;3.51;29.93;07/05/2011
727.71;4.19;176.98;;;3.15;35.21;07/06/2011
729.64;;65.58;;;5.31;30.65;07/07/2011
723.96;20.92;52.5;;;5.98;30.42;07/08/2011
727.93;55.79;75.03;;;3.65;27.74;07/09/2011
736.51;47.91;124.19;;;;27.75;07/10/2011
738.06;32.02;279.42;;;10.48;21.59;07/11/2011
738.83;64.27;190.85;;;5.5;20.43;07/12/2011
739.14;54.54;338.93;;;14.54;7.89;08/01/2011
737.05;18.65;95.7;;;6.52;15.6;08/02/2011
737.8;10.91;128.4;;;5.56;20.08;08/03/2011
737.06;15.89;177.91;;;7.74;24.8;08/04/2011
729.79;17.02;215.14;;;4.2;31.0;08/05/2011
727.11;2.9;129.12;;;;31.38;08/06/2011
730.6;184.44;59.87;;;5.44;27.82;08/07/2011
724.13;22.3;40.79;;;6.12;30.39;08/08/2011
728.16;55.07;67.34;;;4.12;28.44;08/09/2011
736.53;30.83;135.66;;;;27.72;08/10/2011
738.82;42.59;300.52;;;13.34;21.26;08/11/2011
738.36;63.82;153.7;;;7.64;21.78;08/12/2011
740.23;20.91;245.41;;;9.68;7.18;09/01/2011
737.2;21.33;131.25;;;6.02;14.8;09/02/2011
737.19;5.37;91.78;;;5.91;20.11;09/03/2011
737.16;11.67;175.56;;;8.24;26.03;09/04/2011
728.66;30.22;267.7;;;4.24;32.81;09/05/2011
726.24;6.99;121.96;;;2.84;31.51;09/06/2011
729.41;;77.75;;;5.55;28.68;09/07/2011
727.3;16.61;36.21;;;6.0;29.17;09/08/2011
730.62;53.14;59.31;;;4.19;26.83;09/09/2011
737.14;39.7;159.29;;;1.08;27.53;09/10/2011
738.2;30.27;356.97;;;6.71;22.89;09/11/2011
738.6;68.22;192.5;;;5.43;18.35;09/12/2011
740.01;23.79;194.39;;;9.34;8.29;10/01/2011
738.49;26.12;166.06;;;6.89;15.16;10/02/2011
739.39;18.22;160.97;;;10.24;19.62;10/03/2011
738.84;14.2;169.6;;;7.54;24.7;10/04/2011
728.63;18.3;273.21;;;3.4;33.82;10/05/2011
727.03;12.21;99.77;;;2.39;28.36;10/06/2011
728.27;23.01;71.95;;;5.02;28.18;10/07/2011
727.71;23.24;30.43;;;5.44;29.0;10/08/2011
731.64;46.86;86.25;;;5.61;28.92;10/09/2011
737.68;48.53;168.97;;;1.23;26.94;10/10/2011
737.53;39.38;303.28;;;5.41;23.88;10/11/2011
738.64;54.02;174.34;;;4.37;17.05;10/12/2011
738.56;53.55;222.26;;;9.95;9.9;11/01/2011
739.67;27.19;184.48;;;6.56;16.15;11/02/2011
739.07;16.71;158.75;;;6.95;19.18;11/03/2011
736.55;23.26;170.15;;;6.46;26.86;11/04/2011
728.57;26.13;253.98;;;3.79;34.47;11/05/2011
725.83;12.82;149.16;;;2.01;32.71;11/06/2011
727.95;27.77;56.39;;;5.47;29.75;11/07/2011
726.36;27.17;35.55;;;3.07;28.97;11/08/2011
730.5;32.05;79.18;;;4.02;29.65;11/09/2011
738.03;36.4;183.43;;;;26.76;11/10/2011
737.49;58.88;263.99;;;5.2;23.0;11/11/2011
