index;Nitrogen Dioxide(NO2);Bar Pressure(Bar Pressure);PM 10(RSPM);Temperature(TEMP);Sulfur Dioxide(SO2)
 05/10/2011;72.09;736.44;147.83;28.04;1.63
 05/11/2011;50.05;738.1;429.57;22.72;13.81
 05/12/2011;114.22;737.4;213.42;18.97;7.15
 06/01/2011;21.02;741.77;158.64;7.66;6.46
 06/02/2011;20.45;736.84;163.65;20.96;7.67
 06/03/2011;10.37;740.76;130.74;18.35;5.02
 06/04/2011;25.65;736.63;219.0;26.07;8.45
 06/05/2011;9.41;731.76;121.79;29.43;3.49
 06/06/2011;6.44;729.07;150.66;36.4;2.82
 06/07/2011;;730.16;92.62;29.59;5.36
 06/08/2011;31.03;723.77;73.1;28.85;6.23
 06/09/2011;44.67;729.14;48.19;27.55;4.24
 06/10/2011;49.34;737.2;122.62;27.96;1.09
 06/11/2011;27.39;737.22;346.4;22.12;7.04
 06/12/2011;121.9;738.04;236.9;21.03;8.0
 07/01/2011;31.3;740.6;194.3;7.84;8.85
 07/02/2011;23.8;735.4;147.53;20.29;7.79
 07/03/2011;11.54;740.63;126.96;19.57;5.21
 07/04/2011;21.69;736.97;263.09;25.38;8.47
 07/05/2011;10.91;731.52;98.67;29.93;3.51
 07/06/2011;4.19;727.71;176.98;35.21;3.15
 07/07/2011;;729.64;65.58;30.65;5.31
 07/08/2011;20.92;723.96;52.5;30.42;5.98
 07/09/2011;55.79;727.93;75.03;27.74;3.65
 07/10/2011;47.91;736.51;124.19;27.75;
 07/11/2011;32.02;738.06;279.42;21.59;10.48
 07/12/2011;64.27;738.83;190.85;20.43;5.5
 08/01/2011;54.54;739.14;338.93;7.89;14.54
 08/02/2011;18.65;737.05;95.7;15.6;6.52
 08/03/2011;10.91;737.8;128.4;20.08;5.56
 08/04/2011;15.89;737.06;177.91;24.8;7.74
 08/05/2011;17.02;729.79;215.14;31.0;4.2
 08/06/2011;2.9;727.11;129.12;31.38;
 08/07/2011;184.44;730.6;59.87;27.82;5.44
 08/08/2011;22.3;724.13;40.79;30.39;6.12
 08/09/2011;55.07;728.16;67.34;28.44;4.12
 08/10/2011;30.83;736.53;135.66;27.72;
 08/11/2011;42.59;738.82;300.52;21.26;13.34
 08/12/2011;63.82;738.36;153.7;21.78;7.64
 09/01/2011;20.91;740.23;245.41;7.18;9.68
 09/02/2011;21.33;737.2;131.25;14.8;6.02
 09/03/2011;5.37;737.19;91.78;20.11;5.91
 09/04/2011;11.67;737.16;175.56;26.03;8.24
 09/05/2011;30.22;728.66;267.7;32.81;4.24
 09/06/2011;6.99;726.24;121.96;31.51;2.84
 09/07/2011;;729.41;77.75;28.68;5.55
 09/08/2011;16.61;727.3;36.21;29.17;6.0
 09/09/2011;53.14;730.62;59.31;26.83;4.19
 09/10/2011;39.7;737.14;159.29;27.53;1.08
 09/11/2011;30.27;738.2;356.97;22.89;6.71
 09/12/2011;68.22;738.6;192.5;18.35;5.43
 10/01/2011;23.79;740.01;194.39;8.29;9.34
 10/02/2011;26.12;738.49;166.06;15.16;6.89
 10/03/2011;18.22;739.39;160.97;19.62;10.24
 10/04/2011;14.2;738.84;169.6;24.7;7.54
 10/05/2011;18.3;728.63;273.21;33.82;3.4
 10/06/2011;12.21;727.03;99.77;28.36;2.39
 10/07/2011;23.01;728.27;71.95;28.18;5.02
 10/08/2011;23.24;727.71;30.43;29.0;5.44
 10/09/2011;46.86;731.64;86.25;28.92;5.61
 10/10/2011;48.53;737.68;168.97;26.94;1.23
 10/11/2011;39.38;737.53;303.28;23.88;5.41
 10/12/2011;54.02;738.64;174.34;17.05;4.37
 11/01/2011;53.55;738.56;222.26;9.9;9.95
 11/02/2011;27.19;739.67;184.48;16.15;6.56
 11/03/2011;16.71;739.07;158.75;19.18;6.95
 11/04/2011;23.26;736.55;170.15;26.86;6.46
 11/05/2011;26.13;728.57;253.98;34.47;3.79
 11/06/2011;12.82;725.83;149.16;32.71;2.01
 11/07/2011;27.77;727.95;56.39;29.75;5.47
 11/08/2011;27.17;726.36;35.55;28.97;3.07
 11/09/2011;32.05;730.5;79.18;29.65;4.02
 11/10/2011;36.4;738.03;183.43;26.76;
 11/11/2011;58.88;737.49;263.99;23.0;5.2
 11/12/2011;77.87;739.13;166.35;14.99;4.61
 12/01/2011;79.97;737.84;280.35;11.36;15.18
 12/02/2011;19.68;737.34;180.38;17.17;7.58
 12/03/2011;17.99;738.17;139.84;19.81;5.92
 12/04/2011;14.82;735.53;223.34;25.83;7.72
 12/05/2011;13.81;728.69;250.0;35.48;3.67
 12/06/2011;13.35;727.55;151.74;31.94;2.6
 12/07/2011;29.98;727.21;118.61;30.64;5.8
 12/08/2011;28.53;727.0;36.71;27.36;3.7
 12/09/2011;27.65;730.38;57.9;29.09;3.49
 12/10/2011;;737.18;;27.37;
 12/11/2011;88.76;737.62;179.44;22.07;14.23
 12/12/2011;126.53;711.2;212.99;14.23;5.76
 13/01/2011;118.62;737.61;310.96;14.74;15.05
 13/02/2011;12.31;735.6;265.97;20.19;11.54
 13/03/2011;24.54;737.46;189.57;20.67;5.95
 13/04/2011;16.59;735.98;168.02;26.31;8.37
 13/05/2011;11.08;731.07;196.85;30.92;3.71
 13/06/2011;18.43;728.17;124.69;33.41;2.8
 13/07/2011;17.44;727.12;63.39;31.34;5.59
 13/08/2011;26.23;727.84;55.86;29.16;3.36
 13/09/2011;30.65;730.93;84.31;29.93;4.47
 13/10/2011;;735.85;;26.49;
 13/11/2011;104.99;738.61;195.54;21.71;19.85
 13/12/2011;132.7;741.2;253.59;13.49;6.49
 14/01/2011;63.19;736.7;237.68;16.59;14.6
 14/02/2011;;735.71;107.92;17.76;9.46
 14/03/2011;22.21;736.85;173.15;21.72;5.69
 14/04/2011;16.77;734.95;135.1;27.59;5.82
 14/05/2011;14.04;730.73;203.86;36.4;4.7
 14/06/2011;46.76;726.82;187.85;35.04;3.32
 14/07/2011;22.2;726.7;63.24;29.37;5.31
 14/08/2011;18.45;724.88;44.38;28.29;3.18
 14/09/2011;31.22;730.11;113.81;30.31;3.68
 14/10/2011;;735.23;;27.73;
 14/11/2011;178.75;739.15;271.81;20.8;37.02
 14/12/2011;104.57;741.22;224.32;12.72;5.45
 15/01/2011;50.26;738.42;191.04;14.46;9.02
 15/02/2011;;736.2;48.83;15.78;5.44
 15/03/2011;22.06;737.85;214.98;23.31;6.43
 15/04/2011;27.86;733.84;235.29;28.33;6.1
 15/05/2011;12.64;731.7;214.55;34.46;3.61
 15/06/2011;6.33;727.28;75.41;29.85;2.8
 15/07/2011;22.35;726.81;49.23;27.72;5.03
 15/08/2011;13.21;727.0;23.79;26.37;3.3
 15/09/2011;33.39;729.93;56.58;26.91;4.34
 15/10/2011;;734.74;;26.55;
 15/11/2011;136.74;739.44;315.86;21.15;28.59
 15/12/2011;135.55;741.3;194.81;12.6;6.35
 16/01/2011;32.78;739.74;181.66;11.2;8.42
 16/02/2011;1.3;737.5;72.87;15.85;6.69
 16/03/2011;19.49;736.13;222.77;23.61;6.47
 16/04/2011;17.48;734.95;280.59;27.96;6.03
 16/05/2011;13.58;733.47;427.99;34.41;4.77
 16/06/2011;4.48;726.0;132.06;31.21;3.06
 16/07/2011;24.57;727.24;54.34;29.07;5.42
 16/08/2011;21.53;727.93;33.74;26.11;3.22
 16/09/2011;45.98;730.3;69.82;27.8;3.96
 16/10/2011;;735.5;;25.59;
 16/11/2011;106.9;738.16;287.21;21.03;18.38
 16/12/2011;134.9;741.39;272.42;11.9;7.18
 17/01/2011;55.59;737.72;184.1;11.49;8.54
 17/02/2011;;739.59;110.31;14.06;5.18
 17/03/2011;21.98;734.23;206.52;23.65;5.02
 17/04/2011;9.8;734.78;131.15;25.67;4.21
 17/05/2011;22.24;732.83;308.49;35.32;3.62
 17/06/2011;4.57;725.11;147.39;30.16;3.18
 17/07/2011;22.17;726.9;47.06;28.99;5.4
 17/08/2011;21.99;728.65;53.28;27.96;2.75
 17/09/2011;30.37;730.0;52.61;27.69;4.39
 17/10/2011;;735.87;;19.74;
 17/11/2011;108.35;738.06;288.1;20.92;17.25
 17/12/2011;126.69;741.17;260.46;12.0;6.06
 18/01/2011;99.94;737.87;271.52;12.92;12.56
 18/02/2011;;738.87;128.0;14.5;5.39
 18/03/2011;36.5;731.86;249.56;25.79;6.5
 18/04/2011;11.62;734.47;105.46;25.97;3.92
 18/05/2011;9.94;730.32;244.48;35.34;3.39
 18/06/2011;4.24;726.45;112.4;31.03;4.09
 18/07/2011;18.83;726.36;39.2;29.09;5.29
 18/08/2011;26.7;728.99;75.33;29.07;6.54
 18/09/2011;21.79;730.36;73.71;27.93;3.98
 18/10/2011;88.9;736.06;247.74;27.71;5.89
 18/11/2011;126.66;737.82;274.21;21.05;23.82
 18/12/2011;113.56;741.68;237.07;13.34;8.03
 19/01/2011;37.02;738.19;190.76;11.56;10.22
 19/02/2011;;740.49;203.51;15.6;7.46
 19/03/2011;20.43;729.89;244.55;25.6;5.1
 19/04/2011;12.33;734.37;125.77;26.45;4.33
 19/05/2011;5.13;727.98;132.19;34.93;3.54
 19/06/2011;4.18;725.85;92.95;30.28;3.6
 19/07/2011;42.4;724.31;78.77;30.48;4.3
 19/08/2011;110.43;730.08;76.27;26.91;3.51
 19/09/2011;30.17;732.52;110.16;28.39;3.82
 19/10/2011;110.83;734.8;240.71;24.38;7.03
 19/11/2011;108.88;738.86;266.01;20.8;12.65
 19/12/2011;;741.27;;12.41;
 20/01/2011;18.4;740.2;224.95;11.7;11.91
 20/02/2011;;741.0;229.48;15.98;7.71
 20/03/2011;5.65;731.04;190.83;24.71;4.77
 20/04/2011;13.36;734.74;160.79;26.95;5.57
 20/05/2011;2.73;726.81;159.68;32.23;1.84
 20/06/2011;4.39;726.96;117.17;31.62;3.07
 20/07/2011;41.51;724.17;114.54;31.36;1.68
 20/08/2011;38.33;731.98;;28.68;2.94
 20/09/2011;31.47;733.12;130.19;28.11;3.68
 20/10/2011;166.29;734.58;322.64;24.02;7.03
 20/11/2011;115.59;740.48;294.5;19.52;22.2
 20/12/2011;;740.83;;9.83;
 21/01/2011;;740.23;264.12;13.46;13.61
 21/02/2011;8.13;742.08;88.64;14.28;5.5
 21/03/2011;8.17;734.74;166.27;21.87;4.84
 21/04/2011;18.12;734.93;209.32;28.16;5.34
 21/05/2011;5.57;727.17;182.78;27.41;2.24
 21/06/2011;4.85;727.04;159.59;32.93;4.14
 21/07/2011;34.9;725.95;128.47;30.44;1.78
 21/08/2011;21.5;731.93;;30.27;3.06
 21/09/2011;26.95;731.82;155.68;28.26;4.37
 21/10/2011;171.75;735.87;426.79;24.14;9.45
 21/11/2011;170.73;741.47;403.38;20.12;49.87
 22/01/2011;;740.13;207.27;14.71;10.55
 22/02/2011;15.13;740.77;127.8;14.71;6.0
 22/03/2011;14.41;735.23;173.5;23.24;6.38
 22/04/2011;14.15;734.55;207.51;28.13;3.93
 22/05/2011;13.52;730.46;87.92;24.55;1.86
 22/06/2011;4.59;726.19;138.5;33.24;3.23
 22/07/2011;37.1;725.96;161.11;30.41;1.32
 22/08/2011;33.53;731.25;;31.44;3.14
 22/09/2011;30.5;732.36;149.19;28.32;3.96
 22/10/2011;66.34;736.84;357.28;24.4;5.68
 22/11/2011;174.22;740.92;332.71;20.63;43.8
 23/01/2011;;741.06;193.88;15.02;24.83
 23/02/2011;60.84;740.3;287.19;17.93;7.69
 23/03/2011;24.78;735.71;237.42;25.34;6.79
 23/04/2011;26.83;732.86;167.21;31.2;3.88
 23/05/2011;18.93;730.74;168.63;29.08;2.05
 23/06/2011;4.17;725.77;96.93;33.53;7.76
 23/07/2011;39.48;727.12;72.35;29.28;1.8
 23/08/2011;30.82;730.64;40.13;28.41;3.26
 23/09/2011;30.51;731.83;147.22;27.94;4.27
 23/10/2011;55.87;737.38;334.8;24.63;11.14
 23/11/2011;143.89;740.91;256.24;20.28;32.04
 23/12/2011;111.78;739.79;226.18;13.85;7.06
 24/01/2011;;741.36;219.43;13.46;16.37
 24/02/2011;35.34;739.44;316.05;17.38;8.73
 24/03/2011;14.51;735.75;167.07;24.62;6.46
 24/04/2011;38.24;732.26;272.13;30.19;4.98
 24/05/2011;16.99;729.43;223.72;33.0;1.85
 24/06/2011;2.88;725.3;81.76;33.67;3.1
 24/07/2011;23.57;729.26;34.73;29.53;1.63
 24/08/2011;21.82;731.05;37.54;26.86;3.15
 24/09/2011;25.82;732.17;126.29;27.91;4.35
 24/10/2011;43.76;737.49;293.68;24.65;7.67
 24/11/2011;138.78;741.29;207.77;19.77;32.88
 24/12/2011;115.38;739.98;272.26;10.33;6.04
 25/01/2011;;741.12;268.71;13.16;16.69
 25/02/2011;15.86;737.76;170.02;17.27;6.69
 25/03/2011;17.28;736.16;199.81;24.54;5.9
 25/04/2011;29.87;731.82;201.72;31.04;4.53
 25/05/2011;10.31;728.57;303.68;35.37;2.04
 25/06/2011;3.55;725.1;122.53;32.24;3.53
 25/07/2011;32.01;731.82;79.09;29.36;1.79
 25/08/2011;38.95;731.31;86.69;29.35;3.18
 25/09/2011;27.82;733.45;143.79;28.1;3.92
 25/10/2011;31.76;737.48;350.31;23.89;6.18
 25/11/2011;187.92;740.14;239.45;19.03;25.41
 25/12/2011;122.11;720.1;320.44;5.79;6.67
 26/01/2011;;743.09;182.93;14.98;22.21
 26/02/2011;13.45;739.22;122.41;16.92;5.52
 26/03/2011;20.52;735.99;195.44;25.13;5.17
 26/04/2011;12.04;733.5;312.17;28.96;4.55
 26/05/2011;6.9;730.66;151.75;31.74;1.93
 26/06/2011;2.34;726.37;70.2;27.56;2.97
 26/07/2011;43.35;732.11;88.87;30.7;1.71
 26/08/2011;44.97;731.21;83.12;28.93;3.2
 26/09/2011;33.45;733.56;151.97;28.18;4.07
 26/10/2011;23.83;738.78;312.86;23.13;4.99
 26/11/2011;165.45;739.2;294.24;18.54;5.99
 26/12/2011;153.83;370.01;380.01;3.87;8.16
 27/01/2011;15.18;743.01;200.01;11.54;15.44
 27/02/2011;9.24;742.26;128.93;17.03;6.3
 27/03/2011;17.05;735.0;187.38;26.48;4.85
 27/04/2011;10.17;733.36;144.65;28.97;3.83
 27/05/2011;10.3;732.24;111.88;30.11;1.88
 27/06/2011;15.84;725.49;108.78;28.4;17.78
 27/07/2011;43.89;729.33;86.66;29.31;1.7
 27/08/2011;36.71;730.8;75.28;29.2;3.37
 27/09/2011;35.18;733.11;133.28;27.91;3.93
 27/10/2011;19.91;738.54;252.06;21.62;5.76
 27/11/2011;186.73;739.21;387.1;18.51;8.29
 27/12/2011;185.14;697.27;476.79;12.83;9.59
 28/01/2011;12.97;741.07;215.76;12.0;18.52
 28/02/2011;7.88;741.63;118.13;16.08;5.89
 28/03/2011;20.85;733.58;226.97;27.38;7.89
 28/04/2011;19.71;731.16;203.08;31.95;3.84
 28/05/2011;11.54;730.88;192.66;32.09;1.89
 28/06/2011;30.12;725.38;13.01;30.6;4.91
 28/07/2011;33.83;727.95;62.35;28.8;1.83
 28/08/2011;30.84;730.44;53.79;30.64;3.21
 28/09/2011;30.24;733.21;123.56;27.84;4.01
 28/10/2011;28.89;738.56;232.35;21.2;10.03
 28/11/2011;104.82;738.24;303.41;17.78;6.18
 28/12/2011;163.2;723.28;578.35;12.4;13.08
 29/01/2011;13.24;739.63;290.2;12.99;18.91
 29/03/2011;5.55;734.12;174.52;26.29;6.39
 29/04/2011;19.06;730.97;348.1;32.67;4.1
 29/05/2011;10.32;730.42;226.0;33.36;2.23
 29/06/2011;11.83;725.46;48.75;28.07;8.21
 29/07/2011;33.03;728.95;58.61;29.82;1.39
 29/08/2011;31.9;731.1;60.16;31.26;2.82
 29/09/2011;35.17;733.68;112.58;27.61;2.59
 29/10/2011;34.24;738.39;331.3;21.76;11.32
 29/11/2011;80.26;737.82;245.28;17.8;4.73
 29/12/2011;73.38;625.09;369.96;9.13;4.79
 30/01/2011;32.1;741.02;350.5;14.93;15.8
 30/03/2011;7.92;735.96;145.42;25.49;5.77
 30/04/2011;20.72;732.18;375.49;32.85;3.81
 30/05/2011;4.78;729.44;113.9;32.33;2.14
 30/06/2011;3.4;726.04;70.11;28.85;5.85
 30/07/2011;50.96;727.78;129.38;30.48;1.88
 30/08/2011;37.55;731.34;65.31;30.88;4.63
 30/09/2011;38.17;734.43;110.02;27.34;1.21
 30/10/2011;32.7;736.91;344.87;21.4;8.32
 30/11/2011;112.35;738.12;223.07;17.03;6.23
 30/12/2011;57.66;720.65;302.67;10.29;
 31/01/2011;33.05;742.03;231.85;13.56;2.97
 31/03/2011;8.6;735.58;157.48;25.04;5.86
 31/05/2011;4.37;726.76;179.73;32.63;2.01
 31/07/2011;38.93;726.76;107.58;31.82;1.31
 31/08/2011;32.79;730.72;61.51;31.45;7.46
 31/10/2011;39.4;737.07;358.04;22.0;10.08
 31/12/2011;73.55;650.98;431.65;9.85;
